component_order	component	trait_order	trait	trait_label	scaled_ct_score	cumsum_scaled
6	6	2	Albumin	Albumin	0.000987110363106707	0.0757886031943121
6	6	3	Alkaline_phosphatase	Alkaline phosphatase	0.0385065011336631	0
6	6	4	Apolipoprotein_A	Apolipoprotein A	0.00872489203140708	0.0385065011336631
6	6	5	Apolipoprotein_B	Apolipoprotein B	0.000574288870156316	0.0780999731142621
6	6	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.00222251218499851	0.0655492746395983
6	6	7	AST_ALT_ratio	AST ALT ratio	0.00179602544743152	0.0677717868245968
6	6	8	C_reactive_protein	C reactive protein	0.00152415882983351	0.0728949414242624
6	6	9	Calcium	Calcium	0.00155330358268474	0.0713416378415777
6	6	10	Cholesterol	Cholesterol	0.000719519666856846	0.0767757135574188
6	6	11	Creatinine	Creatinine	7.91324998062808e-07	0.0803542543627458
6	6	12	Creatinine_in_urine	Creatinine in urine	2.47513831145538e-05	0.0802178108814168
6	6	13	Cystatin_C	Cystatin C	0.000303771020344179	0.0786742619844184
6	6	14	Direct_bilirubin	Direct bilirubin	2.41804872545874e-05	0.0802425622645314
6	6	15	eGFR	eGFR	2.28407367013544e-07	0.0803550456877438
6	6	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	0.00609298922440899	0.0559071309837429
6	6	17	Glucose	Glucose	1.13572580598076e-05	0.0803344928482031
6	6	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	1.58289676950396e-05	0.0802874921195497
6	6	19	HDL_cholesterol	HDL cholesterol	0.0086757378186728	0.0472313931650701
6	6	20	IGF_1	IGF 1	0.000263858572164891	0.0789780330047626
6	6	21	LDL_direct	LDL direct	8.40425648288001e-06	0.0803458501062629
6	6	22	Lipoprotein_A	Lipoprotein A	1.55844358768098e-05	0.0803189084123263
6	6	23	Microalbumin_in_urine	Microalbumin in urine	1.5587325081568e-05	0.0803033210872447
6	6	24	Non_albumin_protein	Non albumin protein	0.000604739889986445	0.0774952332242756
6	6	25	Phosphate	Phosphate	0.000114722330699839	0.0798648838965469
6	6	26	Potassium_in_urine	Potassium in urine	2.07493677637048e-05	0.080266742751786
6	6	27	SHBG	SHBG	0.000175930549194405	0.0792418915769274
6	6	28	Sodium_in_urine	Sodium in urine	0.000108470649984344	0.0799796062272467
6	6	29	Testosterone	Testosterone	0.000130516186046541	0.0797343677105004
6	6	30	Total_bilirubin	Total bilirubin	3.52849059204572e-05	0.0801825259754964
6	6	31	Total_protein	Total protein	0.00177382556954941	0.0695678122720283
6	6	32	Triglycerides	Triglycerides	0.000142568942242198	0.0795917987682582
6	6	33	Urate	Urate	0.00136950294021612	0.0744191002540959
6	6	34	Urea	Urea	0.000173976642136305	0.0794178221261218
6	6	35	Vitamin_D	Vitamin D	9.44490982652903e-05	0.0800880768772311
7	4	1	Alanine_aminotransferase	Alanine aminotransferase	0.000668137176337924	0.0349766823951735
7	4	2	Albumin	Albumin	0.000280164242202583	0.0371810159210871
7	4	3	Alkaline_phosphatase	Alkaline phosphatase	9.32339191338352e-05	0.0380993504942025
7	4	4	Apolipoprotein_A	Apolipoprotein A	0.00112341206799672	0.0338532703271768
7	4	5	Apolipoprotein_B	Apolipoprotein B	0.000222814050656973	0.0377411451313455
7	4	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.000453651562890426	0.0356448195715114
7	4	7	AST_ALT_ratio	AST ALT ratio	0.00030494037932535	0.0368760755417618
7	4	8	C_reactive_protein	C reactive protein	7.6721687749139e-05	0.0383590145537538
7	4	9	Calcium	Calcium	8.70887533003424e-05	0.0381925844133363
7	4	10	Cholesterol	Cholesterol	3.18561555128135e-05	0.0385819324211321
7	4	11	Creatinine	Creatinine	4.25509394984848e-06	0.03868375547079
7	4	12	Creatinine_in_urine	Creatinine in urine	2.44261742393544e-06	0.0386880105647398
7	4	13	Cystatin_C	Cystatin C	6.73978954014132e-06	0.038672520095126
7	4	14	Direct_bilirubin	Direct bilirubin	0.0135733878145495	0.0187103345093315
7	4	15	eGFR	eGFR	1.9083646471487e-06	0.0386904531821638
7	4	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	0.000343219715351062	0.0365328558264107
7	4	17	Glucose	Glucose	6.99378678112605e-06	0.0386655263083449
7	4	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.000135391312199992	0.0379639591820025
7	4	19	HDL_cholesterol	HDL cholesterol	0.00156954800329582	0.032283722323881
7	4	20	IGF_1	IGF 1	7.93413871170769e-05	0.0382796731666367
7	4	21	LDL_direct	LDL direct	3.69077902322409e-05	0.0385450246308999
7	4	22	Lipoprotein_A	Lipoprotein A	4.49558612384831e-06	0.0386792598846662
7	4	23	Microalbumin_in_urine	Microalbumin in urine	7.26438831738703e-06	0.0386582619200275
7	4	24	Non_albumin_protein	Non albumin protein	4.91133237256489e-05	0.0384959113071742
7	4	25	Phosphate	Phosphate	1.09302783023829e-05	0.0386372576290683
7	4	26	Potassium_in_urine	Potassium in urine	1.78364360416592e-08	0.0386955853518517
7	4	27	SHBG	SHBG	0.000279964968055819	0.0374611801632897
7	4	28	Sodium_in_urine	Sodium in urine	1.27819300945263e-06	0.0386923615468109
7	4	29	Testosterone	Testosterone	6.0175065671319e-05	0.0384357362415029
7	4	30	Total_bilirubin	Total bilirubin	0.0187103345093315	0
7	4	31	Total_protein	Total protein	2.34690524233543e-05	0.0386137885766449
7	4	32	Triglycerides	Triglycerides	0.000434384692008857	0.0360984711344019
7	4	33	Urate	Urate	1.00740126568503e-05	0.0386481879073706
7	4	34	Urea	Urea	7.99136445785331e-07	0.0386947862154059
7	4	35	Vitamin_D	Vitamin D	1.14647558555931e-06	0.0386936397398204
8	16	1	Alanine_aminotransferase	Alanine aminotransferase	2.58614980859536e-05	0.0331011076711922
8	16	2	Albumin	Albumin	0.0011278334766275	0.0289059220304684
8	16	3	Alkaline_phosphatase	Alkaline phosphatase	9.41879726110062e-06	0.0331823950808465
8	16	4	Apolipoprotein_A	Apolipoprotein A	0.000166789260593799	0.0322199969264001
8	16	5	Apolipoprotein_B	Apolipoprotein B	4.48242552710616e-05	0.0329787774058857
8	16	6	Aspartate_aminotransferase	Aspartate aminotransferase	0.00217295538403502	0.0177314527151547
8	16	7	AST_ALT_ratio	AST ALT ratio	0.00114263915733484	0.0277632828731336
8	16	8	C_reactive_protein	C reactive protein	0.00450510072773853	0.00471491026429765
8	16	9	Calcium	Calcium	0.00143776947022451	0.0250959703457615
8	16	10	Cholesterol	Cholesterol	1.60580655594941e-05	0.033166337015287
8	16	11	Creatinine	Creatinine	0.000142854588077655	0.0323867861869939
8	16	12	Creatinine_in_urine	Creatinine in urine	0.00471491026429765	0
8	16	13	Cystatin_C	Cystatin C	0.000124546086543853	0.0327877837933408
8	16	14	Direct_bilirubin	Direct bilirubin	1.09782284970819e-06	0.0331957930800001
8	16	15	eGFR	eGFR	0.000168509377727435	0.0320514875486726
8	16	16	Gamma_glutamyltransferase	Gamma glutamyltransferase	6.64475260010785e-05	0.0329123298798846
8	16	17	Glucose	Glucose	0.000429421564955187	0.0316220659837175
8	16	18	Glycated_haemoglobin_HbA1c	Glycated haemoglobin HbA1c	0.00156430876930627	0.0235316615764552
8	16	19	HDL_cholesterol	HDL cholesterol	4.44368774139461e-05	0.0330236016611568
8	16	20	IGF_1	IGF 1	0.00185700619524258	0.0199044080991897
8	16	21	LDL_direct	LDL direct	3.30691326214905e-05	0.0330680385385707
8	16	22	Lipoprotein_A	Lipoprotein A	3.63470502495171e-07	0.0331975152218842
8	16	23	Microalbumin_in_urine	Microalbumin in urine	1.81321212469812e-05	0.03314820489404
8	16	24	Non_albumin_protein	Non albumin protein	0.000126939737696736	0.0326608440556441
8	16	25	Phosphate	Phosphate	2.12357247618682e-05	0.0331269691692782
8	16	26	Potassium_in_urine	Potassium in urine	0.00442230028896034	0.00922001099203617
8	16	27	SHBG	SHBG	1.87285383067268e-07	0.0331978786923867
8	16	28	Sodium_in_urine	Sodium in urine	0.00408914143415822	0.0136423112809965
8	16	29	Testosterone	Testosterone	3.97920189249699e-06	0.0331918138781076
8	16	30	Total_bilirubin	Total bilirubin	6.24319034414961e-07	0.0331968909028498
8	16	31	Total_protein	Total protein	0.000131203280572519	0.0325296407750715
8	16	32	Triglycerides	Triglycerides	0.000597379917097802	0.0310246860666197
8	16	33	Urate	Urate	0.00177024728202291	0.0217614142944323
8	16	34	Urea	Urea	0.000990930559523738	0.0300337555070959
8	16	35	Vitamin_D	Vitamin D	0.00122954305714757	0.026533739815986
9	11	1	Alanine_aminotransferase	Alanine aminotransferase	0.00045091321935099	0.0239172516814223
9	11	2	Albumin	Albumin	0.00346828258143011	0.0151016489638508
9	11	3	Alkaline_phosphatase	Alkaline phosphatase	1.77251476937471e-05	0.027440361268838
9	11	4	Apolipoprotein_A	Apolipoprotein A	0.000884779277888469	0.0217124269345845
9	11	5	Apolipoprotein_B	Apolipoprotein B	0.000186080592933557	0.0261532679119922
9	11	6	Aspartate_aminotransferase	Aspartate aminotransferase	9.60734081218033e-05	0.02696333900784
9	11	7	AST_ALT_ratio	AST ALT ratio	0.000462584349173362	0.023454667332249
9	11	8	C_reactive_protein	C reactive protein	0.000343577860523812	0.0255463346202072
9	11	9	Calcium	Calcium	0.000857461119775967	0.022597206212473
